time each log function ,Iteration: 100,,,,,,,,,,
,,,,,,,,,,,
v1 functions,init_single_log,write_single_log,checkModified_single_log,closeEntry_single_log,,,,,,,
v2 functions,init_multi_log,createPendingFile,isFileModifiedv2,removePendingFile,,,,,,,
,,,,,,,,,,,
init:,have 100 entries in log vs 100 .tmp files and invoke init() once,,,,,,,,,,
write_single_log/createPendingFile,"add entry to a log that is empty. 50 entries, 100 entries",,,,,,,,,,
checkModified_single_log/isFileModifiedv2,"have 100 entries / tmp files and check one of them (a file at the beg, middle, end, random)",,,,,,,,,,
closeEntry_single_log/removePendingFile,"have 100 entries, remove an entry at the beg, middle, end, random",,,,,,,,,,
,,,,,,,,,,,
op/time,Min,Max,Avg,Med,Std Dev,,Seconds:,,,,
init_single_log,0.000035,0.000108,0.000042,0.000039,0.000011,,Operation,Init Log,Write Log Entry,Check Log,Remove Log Entry
init_multi_log,0.002346,0.008171,0.00297,0.002829,0.000694,,Single Log,0.000035,0.000024,0.000023,0.000251
,,,,,,,Multiple Log,0.002346,0.001392,0.000004,0.001455
op/time,Min,Max,Avg,Med,Std Dev,,,,,,
write_single_log empty,0.000028,0.000211,0.000043,0.000036,0.000021,,Nanoseconds,,,,
createPendingFile empty,0.001394,0.004048,0.001886,0.001828,0.000387,,Operation,Init Log,Write Log Entry,Check Log,Remove Log Entry
write_single_log 50 entries,0.000023,0.000255,0.000036,0.000028,0.000025,,Single Log,35000,24000,23000,251000
createPendingFile 50 entries,0.001415,0.003928,0.00191,0.001805,0.000387,,Multiple Log,2346000,1392000,4000,1455000
write_single_log 100 entries,0.000024,0.000055,0.000031,0.000027,0.000008,,Microseconds,,,,
createPendingFile 100 entries,0.001392,0.003922,0.001879,0.001743,0.000464,,Operation,Single Log,Multiple Log,,
,,,,,,,Init Log,35,2346,,
op/time,Min,Max,Avg,Med,Std Dev,,Write Log Entry,24,1392,,
checkModified_single_log empty,0.000022,0.000193,0.000034,0.000026,0.000021,,Check Log,23,4,,
isFileModifiedv2 empty,0.000004,0.000031,0.000006,0.000005,0.000004,,Remove Log Entry,251,1455,,
checkModified_single_log 50,0.00002,0.000048,0.000026,0.000023,0.000006,,,,,,
isFileModifiedv2 50,0.000004,0.000022,0.000005,0.000005,0.000002,,,,,,
checkModified_single_log 100,0.000023,0.000123,0.000034,0.000027,0.000019,,,,,,
isFileModifiedv2 100,,0.000023,0.000005,0.000005,0.000003,,,,,,
checkModified_single_log not in log,0.000022,0.000063,0.000031,0.000026,0.000011,,,,,,
isFileModifiedv2 not in log,0.000003,0.000021,0.000004,0.000004,0.000002,,,,,,
,,,,,,,,,,,
op/time,Min,Max,Avg,Med,Std Dev,,,,,,
closeEntry_single_log empty,0.000265,0.001502,0.000363,0.000335,0.000135,,,,,,
removePendingFile empty,0.001414,0.003981,0.001947,0.001794,0.000501,,,,,,
closeEntry_single_log 50,0.000248,0.000539,0.000323,0.000306,0.000062,,,,,,
removePendingFile 50,0.001379,0.007967,0.001906,0.001746,0.000723,,,,,,
closeEntry_single_log 100,0.000251,0.000548,0.000328,0.000317,0.000059,,,,,,
removePendingFile 100,0.001455,0.011281,0.001885,0.001744,0.000985,,,,,,
closeEntry_single_log not in log,0.000242,0.000669,0.00032,0.000298,0.000068,,,,,,
removePendingFile not in log,0.001403,0.00348,0.001796,0.00174,0.000308,,,,,,